anio,consumo,marca
2004,4.4,wine
2004,15.7,wine
2004,8,wine
2004,6.4,wine
2004,5.5,wine
2004,4,wine
2004,12.7,wine
2004,4.3,wine
2004,4,wine
2004,7.5,wine
2004,4.2,wine
2004,16.9,wine
2004,3.7,wine
2004,9.6,wine
2004,5.9,wine
2004,8.8,wine
2004,5.3,wine
2004,,wine
2004,4.5,wine
2004,6.5,wine
2004,10,wine
2004,2.8,wine
2004,5.9,wine
2004,5.7,wine
2004,3.6,wine
2004,6.1,wine
2004,5.7,wine
2004,6.2,wine
2004,7,wine
2004,6.2,wine
2004,5.9,wine
2004,2.9,wine
2004,4,wine
2004,3,wine
2004,3.5,wine
2004,9.1,wine
2004,8.3,wine
2004,2.8,wine
2004,17.5,wine
2004,6.7,wine
2004,10.3,wine
2004,2.1,wine
2004,3.8,wine
2004,3.2,wine
2004,2,wine
2004,4.7,wine
2004,3.2,wine
2004,5.1,wine
2004,7.7,wine
2004,,wine
2004,2.3,wine
2004,7.9,wine
2004,6.2,wine
2004,1.9,wine
2004,3.4,wine
2004,8.4,wine
2004,7.2,wine
2004,4.6,wine
2004,4.9,wine
2004,5.4,wine
2004,5.5,wine
2004,4.3,wine
2004,8.5,wine
2004,4.9,wine
2004,6.1,wine
2004,,wine
2004,4.4,wine
2004,3.4,wine
2004,5.2,wine
2004,4.9,wine
2004,3.9,wine
2005,4.4,wine
2005,2,wine
2005,5.8,wine
2005,7.6,wine
2005,4.2,wine
2005,2.2,wine
2005,2.9,wine
2005,6.1,wine
2005,5.2,wine
2005,3.4,wine
2005,3.5,wine
2005,10.6,wine
2005,3.5,wine
2005,2.4,wine
2005,3.7,wine
2005,16.3,wine
2005,9,wine
2005,0.2,wine
2005,7,wine
2005,3.3,wine
2005,11,wine
2005,4.9,wine
2005,3.8,wine
2005,8.6,wine
2005,4.6,wine
2005,15,wine
2005,4.4,wine
2005,9.7,wine
2005,5.7,wine
2005,8.9,wine
2005,4.8,wine
2005,,wine
2005,4.8,wine
2005,7.4,wine
2005,10.9,wine
2005,3.1,wine
2005,6.7,wine
2005,5.4,wine
2005,5.2,wine
2005,6.4,wine
2005,7.3,wine
2005,6.9,wine
2005,7.6,wine
2005,6.9,wine
2005,6.1,wine
2005,2.6,wine
2005,4,wine
2005,3.2,wine
2005,4.1,wine
2005,10.2,wine
2005,8.2,wine
2005,5.2,wine
2005,12.8,wine
2005,6,wine
2005,9.6,wine
2005,2.7,wine
2005,3.8,wine
2005,4.2,wine
2005,3.5,wine
2005,10.3,wine
2005,3.7,wine
2005,6.9,wine
2005,8.5,wine
2005,,wine
2005,2.2,wine
2005,7.4,wine
2005,6.8,wine
2005,1.7,wine
2005,3.7,wine
2005,7.4,wine
2005,8,wine
2005,4.6,wine
2005,4.2,wine
2005,5.9,wine
2005,5.2,wine
2005,4.9,wine
2005,12.2,wine
2005,4.2,wine
2005,8,wine
2005,,wine
2005,4.8,wine
2005,4,wine
2005,5.8,wine
2005,4.2,wine
2005,5.5,wine
2006,3.8,wine
2006,2.2,wine
2006,5.9,wine
2006,8.6,wine
2006,3.9,wine
2006,2.6,wine
2006,2.7,wine
2006,7.5,wine
2006,5.1,wine
2006,4.4,wine
2006,3.3,wine
2006,7.7,wine
2006,3.7,wine
2006,2.9,wine
2006,3.7,wine
2006,13.7,wine
2006,10.7,wine
2006,0.3,wine
2006,7.2,wine
2006,2.5,wine
2006,11.6,wine
2006,4.9,wine
2006,5.9,wine
2006,8,wine
2006,3,wine
2006,14.7,wine
2006,4.3,wine
2006,9.5,wine
2006,5.6,wine
2006,8.3,wine
2006,4.4,wine
2006,,wine
2006,5,wine
2006,5.4,wine
2006,9.6,wine
2006,3.4,wine
2006,6.6,wine
2006,6.3,wine
2006,5.5,wine
2006,5.9,wine
2006,6.5,wine
2006,8.3,wine
2006,8.6,wine
2006,7.7,wine
2006,6.4,wine
2006,2.7,wine
2006,3.7,wine
2006,3.3,wine
2006,3.9,wine
2006,8.7,wine
2006,8.1,wine
2006,4.6,wine
2006,11.8,wine
2006,4,wine
2006,9.3,wine
2006,1.8,wine
2006,3.3,wine
2006,4,wine
2006,3.8,wine
2006,7.6,wine
2006,4,wine
2006,6.2,wine
2006,8.8,wine
2006,,wine
2006,2.5,wine
2006,7.4,wine
2006,7.3,wine
2006,2,wine
2006,3.1,wine
2006,6.4,wine
2006,6.3,wine
2006,5,wine
2006,3,wine
2006,6.8,wine
2006,4.5,wine
2006,4.3,wine
2006,12.4,wine
2006,3,wine
2006,8.2,wine
2006,,wine
2006,4.6,wine
2006,5.5,wine
2006,6.3,wine
2006,3,wine
2006,5.7,wine
2007,4.1,wine
2007,2.5,wine
2007,5.7,wine
2007,10.1,wine
2007,4.1,wine
2007,3,wine
2007,4.5,wine
2007,7.5,wine
2007,6.2,wine
2007,6.9,wine
2007,4.9,wine
2007,9.4,wine
2007,4.7,wine
2007,2.4,wine
2007,4.4,wine
2007,6.7,wine
2007,8.9,wine
2007,0.3,wine
2007,5.4,wine
2007,2.9,wine
2007,12.3,wine
2007,4.8,wine
2007,6.4,wine
2007,7.8,wine
2007,2,wine
2007,11.9,wine
2007,8.8,wine
2007,12.1,wine
2007,7,wine
2007,8.2,wine
2007,5.9,wine
2007,,wine
2007,6.6,wine
2007,6.1,wine
2007,8.5,wine
2007,6.9,wine
2007,7.3,wine
2007,7.9,wine
2007,5.6,wine
2007,7.3,wine
2007,8.2,wine
2007,10.2,wine
2007,10.1,wine
2007,7.1,wine
2007,12.1,wine
2007,5.3,wine
2007,3,wine
2007,3.7,wine
2007,4.6,wine
2007,10,wine
2007,8.8,wine
2007,4.9,wine
2007,10.2,wine
2007,4.8,wine
2007,11.2,wine
2007,1.9,wine
2007,4.2,wine
2007,5.7,wine
2007,5.8,wine
2007,9.1,wine
2007,4.5,wine
2007,5.7,wine
2007,10.3,wine
2007,,wine
2007,2.5,wine
2007,8.4,wine
2007,6.8,wine
2007,4.1,wine
2007,3.4,wine
2007,6.5,wine
2007,8.2,wine
2007,5.4,wine
2007,6.6,wine
2007,8,wine
2007,5.3,wine
2007,5,wine
2007,10.7,wine
2007,6.6,wine
2007,12,wine
2007,,wine
2007,4.9,wine
2007,6.3,wine
2007,6.9,wine
2007,6.6,wine
2007,9.7,wine
2008,5.6,wine
2008,3.5,wine
2008,6.5,wine
2008,10.7,wine
2008,5,wine
2008,2.6,wine
2008,5.6,wine
2008,9.1,wine
2008,6.6,wine
2008,8.6,wine
2008,5.9,wine
2008,10.1,wine
2008,5.5,wine
2008,3.1,wine
2008,5.2,wine
2008,6.9,wine
2008,11,wine
2008,,wine
2008,6.5,wine
2008,3.4,wine
2008,9.3,wine
2008,4.5,wine
2008,7.7,wine
2008,7.2,wine
2008,1.9,wine
2008,14.3,wine
2008,9.3,wine
2008,13.1,wine
2008,7.1,wine
2008,8.7,wine
2008,6.4,wine
2008,,wine
2008,9,wine
2008,6,wine
2008,9,wine
2008,7.5,wine
2008,8.1,wine
2008,9.9,wine
2008,5.7,wine
2008,8.4,wine
2008,7.8,wine
2008,10.6,wine
2008,10.7,wine
2008,6.3,wine
2008,14.5,wine
2008,5.4,wine
2008,4.8,wine
2008,4.5,wine
2008,5.1,wine
2008,8.3,wine
2008,7.6,wine
2008,5.3,wine
2008,9.5,wine
2008,6,wine
2008,12.4,wine
2008,2,wine
2008,5,wine
2008,6.4,wine
2008,6.4,wine
2008,10.4,wine
2008,6.1,wine
2008,8.1,wine
2008,10.1,wine
2008,,wine
2008,1.9,wine
2008,9.3,wine
2008,6.8,wine
2008,4.8,wine
2008,3.3,wine
2008,10.6,wine
2008,8.6,wine
2008,5.7,wine
2008,7.2,wine
2008,9.1,wine
2008,6.8,wine
2008,6.5,wine
2008,9.4,wine
2008,7.2,wine
2008,12.4,wine
2008,,wine
2008,5.6,wine
2008,8.4,wine
2008,7.6,wine
2008,7.2,wine
2008,10.4,wine
2009,6.8,wine
2009,3.8,wine
2009,6.9,wine
2009,11.3,wine
2009,5.9,wine
2009,2.4,wine
2009,4.2,wine
2009,10.5,wine
2009,7.3,wine
2009,8.5,wine
2009,5.1,wine
2009,12.9,wine
2009,7.1,wine
2009,3.8,wine
2009,5.5,wine
2009,6.5,wine
2009,10.9,wine
2009,,wine
2009,6.3,wine
2009,3.2,wine
2009,7.6,wine
2009,4,wine
2009,7.4,wine
2009,7.6,wine
2009,1.5,wine
2009,13.6,wine
2009,9.2,wine
2009,13.4,wine
2009,7.5,wine
2009,7.8,wine
2009,6.4,wine
2009,,wine
2009,9.1,wine
2009,6.4,wine
2009,10.8,wine
2009,7.9,wine
2009,8.8,wine
2009,11.7,wine
2009,6,wine
2009,9.4,wine
2009,7.5,wine
2009,10.1,wine
2009,11.3,wine
2009,6.7,wine
2009,14.8,wine
2009,5.2,wine
2009,5,wine
2009,4.2,wine
2009,5.7,wine
2009,8.8,wine
2009,7.2,wine
2009,5.6,wine
2009,10.3,wine
2009,5.5,wine
2009,13.1,wine
2009,2.9,wine
2009,5,wine
2009,6.4,wine
2009,7,wine
2009,7.7,wine
2009,5.8,wine
2009,7.7,wine
2009,8.9,wine
2009,,wine
2009,1.5,wine
2009,10.2,wine
2009,6.4,wine
2009,5.4,wine
2009,3,wine
2009,8.9,wine
2009,6.8,wine
2009,6.5,wine
2009,7.1,wine
2009,10.9,wine
2009,6.4,wine
2009,6.2,wine
2009,6.1,wine
2009,7.1,wine
2009,12.7,wine
2009,,wine
2009,4.9,wine
2009,4.9,wine
2009,4.8,wine
2009,7.1,wine
2009,10,wine
2010,6.2,wine
2010,4.1,wine
2010,7.6,wine
2010,12,wine
2010,6.1,wine
2010,2.2,wine
2010,3,wine
2010,9.7,wine
2010,7.8,wine
2010,9,wine
2010,5,wine
2010,9.2,wine
2010,6.6,wine
2010,3.3,wine
2010,5.5,wine
2010,6.4,wine
2010,9.5,wine
2010,,wine
2010,6.5,wine
2010,3.2,wine
2010,8.6,wine
2010,2.8,wine
2010,8.9,wine
2010,7.7,wine
2010,1.4,wine
2010,12.9,wine
2010,9,wine
2010,11,wine
2010,8.5,wine
2010,6.7,wine
2010,6.5,wine
2010,,wine
2010,8.4,wine
2010,6.6,wine
2010,10.5,wine
2010,8.2,wine
2010,7.9,wine
2010,10.6,wine
2010,6.3,wine
2010,10.1,wine
2010,8.3,wine
2010,10.3,wine
2010,12,wine
2010,7.9,wine
2010,14.8,wine
2010,5.4,wine
2010,5.6,wine
2010,4.3,wine
2010,6.6,wine
2010,7.8,wine
2010,6.6,wine
2010,5.5,wine
2010,13.6,wine
2010,6.1,wine
2010,12.8,wine
2010,5.1,wine
2010,5.2,wine
2010,6.7,wine
2010,6.2,wine
2010,8.4,wine
2010,5.7,wine
2010,8.8,wine
2010,10.7,wine
2010,,wine
2010,1.7,wine
2010,10.7,wine
2010,5.4,wine
2010,5.4,wine
2010,3.5,wine
2010,9.4,wine
2010,7.6,wine
2010,6.2,wine
2010,7.7,wine
2010,10.9,wine
2010,7,wine
2010,6.5,wine
2010,7.4,wine
2010,7.7,wine
2010,9.8,wine
2010,,wine
2010,5.7,wine
2010,5.5,wine
2010,5.2,wine
2010,7.7,wine
2010,11.3,wine
2011,3.29,wine
2011,4.51,wine
2011,7.21,wine
2011,12.23,wine
2011,4.92,wine
2011,3.04,wine
2011,3.6,wine
2011,9.96,wine
2011,7.31,wine
2011,8.43,wine
2011,4.82,wine
2011,10.34,wine
2011,6.02,wine
2011,3.27,wine
2011,5.06,wine
2011,6.52,wine
2011,9.71,wine
2011,,wine
2011,6.1,wine
2011,2.66,wine
2011,7.98,wine
2011,2.47,wine
2011,9.26,wine
2011,7.59,wine
2011,1.36,wine
2011,11.98,wine
2011,7.48,wine
2011,9.23,wine
2011,8.11,wine
2011,6.47,wine
2011,6.22,wine
2011,,wine
2011,6.98,wine
2011,6.33,wine
2011,8.54,wine
2011,6.48,wine
2011,8.17,wine
2011,8.57,wine
2011,6.15,wine
2011,9.85,wine
2011,7.6,wine
2011,10.72,wine
2011,10.53,wine
2011,7.66,wine
2011,13.71,wine
2011,4.9,wine
2011,5.02,wine
2011,4.5,wine
2011,6.8,wine
2011,7.37,wine
2011,6.07,wine
2011,6.03,wine
2011,12.75,wine
2011,5.71,wine
2011,10.75,wine
2011,4.26,wine
2011,4.61,wine
2011,7.96,wine
2011,5.97,wine
2011,6.9,wine
2011,5.46,wine
2011,8.5,wine
2011,8.67,wine
2011,,wine
2011,1.72,wine
2011,9.27,wine
2011,5.97,wine
2011,5.77,wine
2011,3.71,wine
2011,8.69,wine
2011,7.41,wine
2011,6.34,wine
2011,7.3,wine
2011,7.95,wine
2011,7.41,wine
2011,5.79,wine
2011,6.11,wine
2011,6.69,wine
2011,8.34,wine
2011,,wine
2011,5.24,wine
2011,5.23,wine
2011,5.87,wine
2011,6.33,wine
2011,10.27,wine
2012,3.1,wine
2012,4.8,wine
2012,5.8,wine
2012,9.2,wine
2012,4.7,wine
2012,4,wine
2012,3.3,wine
2012,8.4,wine
2012,7.6,wine
2012,8,wine
2012,4.5,wine
2012,9.8,wine
2012,7.5,wine
2012,1.6,wine
2012,4.7,wine
2012,6.6,wine
2012,9.2,wine
2012,,wine
2012,6.3,wine
2012,1.7,wine
2012,8.6,wine
2012,2.7,wine
2012,9.3,wine
2012,7.5,wine
2012,1.3,wine
2012,10.6,wine
2012,5.9,wine
2012,8.1,wine
2012,7.7,wine
2012,5.7,wine
2012,6.1,wine
2012,,wine
2012,5.8,wine
2012,5.6,wine
2012,7.4,wine
2012,5.7,wine
2012,8,wine
2012,8.8,wine
2012,6.1,wine
2012,9.7,wine
2012,7.4,wine
2012,10.8,wine
2012,9.9,wine
2012,7.3,wine
2012,13.1,wine
2012,5.4,wine
2012,5.1,wine
2012,4.5,wine
2012,6.4,wine
2012,6,wine
2012,5.6,wine
2012,6.7,wine
2012,9.5,wine
2012,5.2,wine
2012,9.6,wine
2012,3.8,wine
2012,4,wine
2012,6.5,wine
2012,6.4,wine
2012,8,wine
2012,5.5,wine
2012,8.1,wine
2012,7.6,wine
2012,,wine
2012,1.4,wine
2012,8,wine
2012,5.5,wine
2012,6.6,wine
2012,3.7,wine
2012,9.8,wine
2012,7.9,wine
2012,6.4,wine
2012,7.4,wine
2012,8,wine
2012,6.6,wine
2012,6.2,wine
2012,4.7,wine
2012,6.8,wine
2012,7,wine
2012,,wine
2012,5.2,wine
2012,5.1,wine
2012,5.8,wine
2012,6.3,wine
2012,9.7,wine
2013,2.9,wine
2013,4.4,wine
2013,6.7,wine
2013,9.2,wine
2013,4.2,wine
2013,4,wine
2013,3.1,wine
2013,7.5,wine
2013,4.3,wine
2013,7.2,wine
2013,4.6,wine
2013,8.2,wine
2013,7,wine
2013,1,wine
2013,4.5,wine
2013,6.4,wine
2013,8.8,wine
2013,,wine
2013,5.8,wine
2013,0.8,wine
2013,6.9,wine
2013,2.2,wine
2013,8.6,wine
2013,6.7,wine
2013,1.1,wine
2013,10.8,wine
2013,5.9,wine
2013,8.1,wine
2013,6.6,wine
2013,5.1,wine
2013,5.4,wine
2013,,wine
2013,4.9,wine
2013,5.1,wine
2013,6.6,wine
2013,5.2,wine
2013,6.8,wine
2013,8,wine
2013,6.3,wine
2013,8.8,wine
2013,6.5,wine
2013,10.9,wine
2013,8.4,wine
2013,6,wine
2013,11.3,wine
2013,5.3,wine
2013,4.9,wine
2013,4,wine
2013,5.9,wine
2013,6.3,wine
2013,5.2,wine
2013,5.9,wine
2013,7.3,wine
2013,4.2,wine
2013,9,wine
2013,2.7,wine
2013,4.5,wine
2013,5.6,wine
2013,5.7,wine
2013,6.8,wine
2013,4.8,wine
2013,7.2,wine
2013,7.1,wine
2013,,wine
2013,1.3,wine
2013,7.5,wine
2013,4.5,wine
2013,5.2,wine
2013,3.8,wine
2013,7.1,wine
2013,7.6,wine
2013,4.8,wine
2013,6.7,wine
2013,5.7,wine
2013,5.3,wine
2013,5.7,wine
2013,3.3,wine
2013,6.1,wine
2013,4.7,wine
2013,,wine
2013,5.2,wine
2013,4,wine
2013,4.7,wine
2013,5.8,wine
2013,7.6,wine
2014,3.7,wine
